scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized,normalization
case_000_davis_crescent_t0,moderate,0.6817,-0.15047535689968977,0.011600508253462594,0.1567453108968152,-0.1567453108968152,per_token_mean_logprob_margin
case_000_davis_crescent_t1,ambiguous,0.7654,-0.2194928906555772,0.018320985088523756,0.12515418622679686,-0.12515418622679686,per_token_mean_logprob_margin
scn_0001_trivial_invisible,trivial,0.0,0.10608540146058598,0.04040714703696591,-0.06794393924415598,0.06794393924415598,per_token_mean_logprob_margin
scn_0002_night_easy_visible,trivial,0.0,-0.41088387170463203,0.005059348117012585,-0.3651846214835087,0.3651846214835087,per_token_mean_logprob_margin
scn_0003_trivial_invisible,trivial,0.0,0.07329724743928501,0.006658612961047861,-0.1129820916704547,0.1129820916704547,per_token_mean_logprob_margin
scn_0004_trivial_invisible,trivial,0.0,0.09951949591783416,0.0656118041431285,-0.05196264583996413,0.05196264583996413,per_token_mean_logprob_margin
scn_0005_daylight_moderate,ambiguous,0.7145,-0.1586413675445556,0.0031599211669089966,0.04642999017365501,-0.04642999017365501,per_token_mean_logprob_margin
scn_0006_twilight_civil,moderate,0.4816,-0.42061583367937294,-0.03123575290905256,-0.35816561431801386,0.35816561431801386,per_token_mean_logprob_margin
scn_0007_daylight_gibbous,trivial,0.0,-0.09521514069218606,0.02222067988250198,0.16333928883693039,-0.16333928883693039,per_token_mean_logprob_margin
scn_0008_night_easy_visible,trivial,0.0,-0.4462040242173576,-0.007119652078790173,-0.4034750066856513,0.4034750066856513,per_token_mean_logprob_margin
scn_0009_night_marginal,ambiguous,0.7214,-0.32249263886252444,-0.07521027180515072,-0.2974470003502959,0.2974470003502959,per_token_mean_logprob_margin
scn_0010_night_marginal,trivial,0.0,-0.38341750643338035,-0.04222724013737256,-0.4651584445178679,0.4651584445178679,per_token_mean_logprob_margin
scn_0011_twilight_astronomical,trivial,0.0,-0.4208435619320826,0.026073490113337594,-0.34208411401200556,0.34208411401200556,per_token_mean_logprob_margin
scn_0012_daylight_gibbous,trivial,0.0,-0.2556569302903148,0.0531888788398317,0.08048012743167787,-0.08048012743167787,per_token_mean_logprob_margin
scn_0013_daylight_thin_crescent,ambiguous,0.9558,-0.20218301860482524,-0.04069151719736408,-0.0058614379645040016,0.0058614379645040016,per_token_mean_logprob_margin
scn_0014_daylight_moderate,moderate,0.615,-0.17139211778218544,0.011894215288246635,0.05901548094186271,-0.05901548094186271,per_token_mean_logprob_margin
scn_0015_daylight_moderate,moderate,0.6604,-0.11013560494895847,0.027761362395101408,0.1451810694388337,-0.1451810694388337,per_token_mean_logprob_margin
scn_0016_daylight_thin_crescent,moderate,0.5041,-0.14154784469347886,-0.01731960795864107,0.12343304945407274,-0.12343304945407274,per_token_mean_logprob_margin
scn_0017_twilight_civil,moderate,0.6911,-0.3336571996305364,-0.11397992139257196,-0.39934275094659966,0.39934275094659966,per_token_mean_logprob_margin
scn_0018_daylight_gibbous,trivial,0.0,-0.07161211354162778,0.03048155385084339,0.1907622181599783,-0.1907622181599783,per_token_mean_logprob_margin
scn_0019_daylight_thin_crescent,moderate,0.6208,-0.2019714436583837,-0.012712400742909913,0.10560062834401696,-0.10560062834401696,per_token_mean_logprob_margin
scn_0020_daylight_moderate,moderate,0.4292,-0.20469882125256644,0.04332648884571555,0.15224641731881106,-0.15224641731881106,per_token_mean_logprob_margin
scn_0021_daylight_moderate,trivial,0.0,-0.1793132146020301,0.03226331228645363,0.10475730719063281,-0.10475730719063281,per_token_mean_logprob_margin
scn_0022_twilight_nautical,moderate,0.4751,-0.3586981920479232,0.012276377668419491,-0.3689326477885644,0.3689326477885644,per_token_mean_logprob_margin
scn_0023_daylight_thin_crescent,easy,0.2219,-0.16063733273573338,-0.02392569962350033,0.08160852870020197,-0.08160852870020197,per_token_mean_logprob_margin
scn_0024_daylight_near_sun_extreme,trivial,0.0,-0.0900479529424918,-0.01878424647759236,0.09598403164037927,-0.09598403164037927,per_token_mean_logprob_margin
scn_0025_daylight_near_sun_extreme,trivial,0.0,-0.0681635369823888,-0.0004509064615088043,0.08351160651848977,-0.08351160651848977,per_token_mean_logprob_margin
scn_0026_daylight_thin_crescent,moderate,0.4297,-0.1888198040945922,0.00035609145554804655,-0.003220166647637801,0.003220166647637801,per_token_mean_logprob_margin
scn_0027_twilight_civil,trivial,0.0,-0.4440489062614744,-0.0020213236335649976,-0.32275954639217574,0.32275954639217574,per_token_mean_logprob_margin
scn_0028_twilight_astronomical,trivial,0.0,-0.42469622891318626,-0.00509827946335728,-0.4252158720572919,0.4252158720572919,per_token_mean_logprob_margin
scn_0029_twilight_nautical,trivial,0.0,-0.45675115241375097,0.01623250227819062,-0.2889044101317645,0.2889044101317645,per_token_mean_logprob_margin
scn_0030_daylight_thin_crescent,easy,0.2305,-0.10131079693960521,0.008350117455443673,0.11974182200898986,-0.11974182200898986,per_token_mean_logprob_margin
case_000_davis_crescent_t0,moderate,0.6817,-0.8652198689524084,0.12169791786072892,1.1075859109405428,-1.1075859109405428,total_sequence_logprob_margin
case_000_davis_crescent_t1,ambiguous,0.7654,-1.3308408141584778,0.17200213973410428,0.8919439718592912,-0.8919439718592912,total_sequence_logprob_margin
scn_0001_trivial_invisible,trivial,0.0,0.6868372266168308,0.29177477210873803,-0.35262674838190833,0.35262674838190833,total_sequence_logprob_margin
scn_0002_night_easy_visible,trivial,0.0,-2.5119677650518497,0.018171681672242812,-2.338209196110256,2.338209196110256,total_sequence_logprob_margin
scn_0003_trivial_invisible,trivial,0.0,0.4683591245857315,0.05873326453820482,-0.606946699582295,0.606946699582295,total_sequence_logprob_margin
scn_0004_trivial_invisible,trivial,0.0,0.6350400386141928,0.45478469737975047,-0.25708702032022757,0.25708702032022757,total_sequence_logprob_margin
scn_0005_daylight_moderate,ambiguous,0.7145,-0.8725019148547517,0.0811272651666286,0.3990752887915505,-0.3990752887915505,total_sequence_logprob_margin
scn_0006_twilight_civil,moderate,0.4816,-2.5840564470263416,-0.1856474798405543,-2.3089332752861083,2.3089332752861083,total_sequence_logprob_margin
scn_0007_daylight_gibbous,trivial,0.0,-0.44071120000421615,0.19183711569189654,1.1658997449560502,-1.1658997449560502,total_sequence_logprob_margin
scn_0008_night_easy_visible,trivial,0.0,-2.768552196503151,-0.08942591253435239,-2.6741069623385556,2.6741069623385556,total_sequence_logprob_margin
scn_0009_night_marginal,ambiguous,0.7214,-1.9239335457098719,-0.4811837010786917,-1.937603762955689,1.937603762955689,total_sequence_logprob_margin
scn_0010_night_marginal,trivial,0.0,-2.3569839711417444,-0.3062484879067142,-3.0466795554436885,3.0466795554436885,total_sequence_logprob_margin
scn_0011_twilight_astronomical,trivial,0.0,-2.5964364057876423,0.1686491359723732,-2.2266638810979202,2.2266638810979202,total_sequence_logprob_margin
scn_0012_daylight_gibbous,trivial,0.0,-1.49848466285232,0.43957310668997707,0.579670731326587,-0.579670731326587,total_sequence_logprob_margin
scn_0013_daylight_thin_crescent,ambiguous,0.9558,-1.1893224813975394,-0.21989961434155703,0.040263908449560404,-0.040263908449560404,total_sequence_logprob_margin
scn_0014_daylight_moderate,moderate,0.615,-0.9629430314525962,0.13068432151339948,0.48590673040575894,-0.48590673040575894,total_sequence_logprob_margin
scn_0015_daylight_moderate,moderate,0.6604,-0.5602221875451505,0.21584695926867425,1.0249227387830615,-1.0249227387830615,total_sequence_logprob_margin
scn_0016_daylight_thin_crescent,moderate,0.5041,-0.8017910411581397,-0.08687818003818393,0.8742362069897354,-0.8742362069897354,total_sequence_logprob_margin
scn_0017_twilight_civil,moderate,0.6911,-2.054335212218575,-0.7405313710914925,-2.610177260474302,2.610177260474302,total_sequence_logprob_margin
scn_0018_daylight_gibbous,trivial,0.0,-0.2905310590285808,0.24196297582238913,1.369286312488839,-1.369286312488839,total_sequence_logprob_margin
scn_0019_daylight_thin_crescent,moderate,0.6208,-1.211350488477251,-0.035630162339657545,0.7813043212518096,-0.7813043212518096,total_sequence_logprob_margin
scn_0020_daylight_moderate,moderate,0.4292,-1.1683927548583597,0.35903613013215363,1.03154910588637,-1.03154910588637,total_sequence_logprob_margin
scn_0021_daylight_moderate,trivial,0.0,-0.9778936662478372,0.27745255280751735,0.7665595525177196,-0.7665595525177196,total_sequence_logprob_margin
scn_0022_twilight_nautical,moderate,0.4751,-2.208130897837691,0.03190685948356986,-2.4482750489842147,2.4482750489842147,total_sequence_logprob_margin
scn_0023_daylight_thin_crescent,easy,0.2219,-0.9484499052709907,-0.11953854838611733,0.6324468266584518,-0.6324468266584518,total_sequence_logprob_margin
scn_0024_daylight_near_sun_extreme,trivial,0.0,-0.4764081996391951,-0.1049863076764268,0.702795273857646,-0.702795273857646,total_sequence_logprob_margin
scn_0025_daylight_near_sun_extreme,trivial,0.0,-0.3685306904371828,0.02037324055982026,0.5934514722321182,-0.5934514722321182,total_sequence_logprob_margin
scn_0026_daylight_thin_crescent,moderate,0.4297,-1.0927975967099428,0.012868782967188963,0.016342290906095513,-0.016342290906095513,total_sequence_logprob_margin
scn_0027_twilight_civil,trivial,0.0,-2.7576718929913113,-0.04032414488028735,-2.1132115550572053,2.1132115550572053,total_sequence_logprob_margin
scn_0028_twilight_astronomical,trivial,0.0,-2.638694499968551,-0.061887906982747154,-2.7830511211650446,2.7830511211650446,total_sequence_logprob_margin
scn_0029_twilight_nautical,trivial,0.0,-2.7798380288289763,0.14565908955466966,-1.8602673951530733,1.8602673951530733,total_sequence_logprob_margin
scn_0030_daylight_thin_crescent,easy,0.2305,-0.5738724106922746,0.031102779088541865,0.8496250258758664,-0.8496250258758664,total_sequence_logprob_margin
