# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    305     67      -    100     22      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    595    664 
    0    319     50      -     99     55      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    757    713 
    1    305     67      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    661    665 
    0    323     51      -     99     76      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2503   2618 
    1    307     67      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2499   2702 
    0    324     51      -    100     22      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    762    672 
    1    309     67      -     99     52      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    661    708 
    0    320     51      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    759    720 
    1    305     67      -     99     72      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    657    754 
    0    324     51      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2498   1542 
    1    309     67      -    100     39      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1591   2524 
    0    322     51      -     99     67      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    774    674 
    1    308     67      -     99     73      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    695    666 
    0    320     51      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    778    673 
    1    306     68      -     99     40      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    661    683 
    0    320     52      -    100     20      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    825    714 
    1    307     68      -     98     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    710    706 
    0    323     52      -     99     76      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    760    660 
    1    309     67      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    649    662 
    0    323     52      -     99     50      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    779   1969 
    1    308     67      -    100     53      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2512   2627 
    0    321     52      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   2346   1641 
    1    307     68      -     99     75      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    692    706 
    0    321     53      -     99     62      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    783    754 
    1    307     68      -     99     66      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    697    671 
    0    323     53      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    793    714 
    1    308     68      -     99     75      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    651    742 
    0    325     53      -     99     76      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   2708   2813 
    1    310     68      -     99     78      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1107    665 
    0    321     54      -    100     23      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    760    714 
    1    306     68      -    100     32      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    695    706 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    322     53      -     99     76      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    705    719 
    1    307     68      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    691    665 
    0    324     54      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    773    675 
    1    308     68      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    724    755 
    0    321     54      -    100     22      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    739    672 
    1    306     69      -    100     23      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    652    686 
    0    323     54      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   2428   2675 
    1    308     68      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2503   1772 
    0    324     54      -     99     47      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    790    708 
    1    308     69      -     99     51      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    648    708 
    0    326     55      -    100     28      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    781    723 
    1    310     69      -    100     32      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2206   2910 
    0    326     55      -    100     21      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    776    612 
    1    309     68      -    100     21      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2516   2888 
    0    323     55      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    789    674 
    1    306     69      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    648    741 
    0    328     55      -     99     77      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    775    753 
    1    311     69      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    734    747 
    0    326     56      -     99     77      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   1323   2895 
    1    309     69      -     99     81      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2730   2892 
    0    325     55      -     99     74      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    782    673 
    1    308     69      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    699    707 
    0    326     55      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   1293   2629 
    1    309     69      -     99     75      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2343   2529 
    0    325     56      -    100     19      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    775    743 
    1    309     69      -    100     19      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2416   2684 
    0    323     56      -     99     41      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    755    713 
    1    307     69      -     99     45      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    662    715 
    0    328     56      -     98     74      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    789   2304 
    1    311     69      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2703   2910 
    0    327     56      -     99     37      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    707    671 
    1    310     69      -     99     39      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    695    713 
    0    325     57      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    755    713 
    1    307     69      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    695    706 
    0    329     57      -     99     51      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    730    681 
    1    310     69      -     99     55      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    646    708 
    0    326     57      -     99     67      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    746    713 
    1    310     70      -     99     63      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1737   2539 
    0    324     57      -     99     47      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2518   2719 
    1    309     70      -     99     48      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2494    903 
    0    324     57      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    769    715 
    1    311     69      -    100     22      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    697    721 
    0    325     57      -     99     72      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2369   2649 
    1    311     69      -     99     75      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1747    664 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    324     58      -     99     62      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    761    710 
    1    310     70      -     99     58      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    687    679 
    0    325     57      -    100     28      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    711    693 
    1    309     70      -    100     24      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    656    700 
    0    324     58      -     99     76      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    891    986 
    1    309     70      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    624    749 
    0    327     58      -     99     46      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2499   2698 
    1    311     70      -     99     47      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2424   2693 
    0    327     59      -     99     79      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    794    666 
    1    312     70      -     99     78      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    691    720 
    0    325     58      -    100     27      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    694    747 
    1    310     69      -    100     24      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    691    707 
    0    326     58      -     99     71      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2535   2628 
    1    311     70      -     99     67      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2611   2829 
    0    325     59      -     99     67      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    785    673 
    1    311     70      -     99     72      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    656    669 
    0    328     58      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    813    718 
    1    314     70      -     99     75      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    681    666 
    0    326     59      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    777    716 
    1    311     70      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1128   2654 
    0    325     59      -     99     68      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    793    668 
    1    310     70      -     99     65      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    699    664 
    0    324     59      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    752    688 
    1    309     70      -     99     73      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    615    701 
    0    327     59      -     99     68      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2333   2612 
