# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     24     28      -      0      0      0      0      0      0    405    210  23289      4      0 
    1     10     36      -      0      0      0      0      0      0    405    210  23289  23289      0 
    0     70     36      -      0      0      0      0      0      0   9501   1995  23289      4      0 
    1     60     45      -      0      0      0      0      0      0   9501   1905  23289  23289      0 
    0    349     39      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    327     47      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    349     40      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    329     49      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    350     40      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    330     49      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    350     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    330     50      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    350     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    331     51      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    350     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    332     52      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    351     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    332     52      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    341     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    323     53      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    346     41      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    329     53      -    100     97      0      0      0      0   9501   1905  23289  23289      0 
    0    351     42      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    334     54      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    352     42      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    334     54      -    100     96      0      0      0      0   9501   1920  23289  23289      0 
    0    346     42      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    328     55      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    352     42      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    334     56      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     43      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    335     56      -    100     96      0      0      0      0   9501   1920  23289  23289      0 
    0    353     43      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    335     57      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     43      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    336     57      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    336     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    336     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
