# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     25     32      -      0      0      0      0      0      0    405    210  23289      4      0 
    1     10     46      -      0      0      0      0      0      0    405    210  23289  23289      0 
    0     77     40      -      0      0      0      0      0      0   9501   1965  23289      4      0 
    1     72     54      -      0      0      0      0      0      0   9501   1905  23289  23289      0 
    0    348     44      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    333     56      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    335     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     45      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    336     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     45      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    336     59      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     45      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    337     60      -    100     97      0      0      0      0   9501   1905  23289  23289      0 
    0    353     45      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    336     60      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    354     45      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    337     61      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    345     45      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    329     61      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    354     46      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    337     62      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    354     46      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    339     62      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    355     46      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    340     63      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    353     46      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    338     63      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    355     46      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    339     64      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
    0    355     47      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    344     64      -    100     96      0      0      0      0   9501   1890  23289  23289      0 
    0    355     47      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    343     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0 
    0    355     47      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    344     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0 
    0    356     48      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    344     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0 
    0    356     48      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    345     66      -    100     96      0      0      0      0   9501   1890  23289  23289      0 
