# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    1    346     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    373     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    373     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    373     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    348     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    322     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    372     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    372     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    372     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     72      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     72      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     72      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    362     64      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    332     73      -    100     30      0      0      0      0   9501   1875  23289  23289      0
    0    339     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    316     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    350     63      -    100     19      0      0      0      0   9501   1965  23289      4      0
    1    319     73      -    100     22      0      0      0      0   9501   1875  23289  23289      0
    0    362     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    340     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    342     63      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    314     73      -    100     17      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    336     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    345     63      -    100     19      0      0      0      0   9501   1965  23289      4      0
    1    319     73      -    100     34      0      0      0      0   9501   1875  23289  23289      0
    0    370     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     73      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    369     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    343     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    335     63      -    100     17      0      0      0      0   9501   1965  23289      4      0
    1    311     74      -    100     17      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    365     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    339     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    359     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    333     73      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    359     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    334     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    345     63      -    100     26      0      0      0      0   9501   1965  23289      4      0
    1    320     74      -    100     27      0      0      0      0   9501   1875  23289  23289      0
    0    355     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    330     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    370     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    347     63      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    322     74      -    100     18      0      0      0      0   9501   1875  23289  23289      0
    0    370     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    352     62      -    100     80      0      0      0      0   9501   1965  23289      4      0
    1    328     74      -    100     79      0      0      0      0   9501   1875  23289  23289      0
    0    342     63      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    318     74      -    100     18      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    345     62      -    100     42      0      0      0      0   9501   1965  23289      4      0
    1    321     74      -    100     40      0      0      0      0   9501   1875  23289  23289      0
    0    368     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    364     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    340     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    337     63      -    100     33      0      0      0      0   9501   1965  23289      4      0
    1    314     74      -    100     34      0      0      0      0   9501   1875  23289  23289      0
    0    359     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    335     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    369     63      -    100     41      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    341     62      -    100     78      0      0      0      0   9501   1965  23289      4      0
    1    317     74      -    100     80      0      0      0      0   9501   1875  23289  23289      0
    0    370     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    364     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    340     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    336     63      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    313     74      -    100     18      0      0      0      0   9501   1875  23289  23289      0
    0    361     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    337     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    358     62      -    100     40      0      0      0      0   9501   1965  23289      4      0
    1    333     74      -    100     39      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    349     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    325     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    346     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    348     62      -    100     34      0      0      0      0   9501   1965  23289      4      0
    1    324     74      -    100     34      0      0      0      0   9501   1875  23289  23289      0
    0    342     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    319     75      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    373     62      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    370     62      -    100     43      0      0      0      0   9501   1965  23289      4      0
    1    345     74      -    100     42      0      0      0      0   9501   1875  23289  23289      0
    0    340     63      -    100     58      0      0      0      0   9501   1965  23289      4      0
    1    317     74      -    100     59      0      0      0      0   9501   1875  23289  23289      0
    0    369     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     75      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    347     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    372     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    349     74      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    373     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    348     75      -    100     89      0      0      0      0   9501   1875  23289  23289      0
    0    365     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    340     75      -    100     88      0      0      0      0   9501   1875  23289  23289      0
    0    342     63      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    314     74      -    100     18      0      0      0      0   9501   1875  23289  23289      0
    0    371     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    337     74      -    100     88      0      0      0      0   9501   1875  23289  23289      0
