scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,32.5,13.75,18.75
case_000_davis_crescent_t1,8.75,21.875,-13.125
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,3.75,2.5,1.25
scn_0003_trivial_invisible,1.0,3.125,-2.125
scn_0004_trivial_invisible,0.5,1.25,-0.75
scn_0005_daylight_moderate,33.75,31.25,2.5
scn_0006_twilight_civil,10.0,-3.125,13.125
scn_0007_daylight_gibbous,39.75,10.0,29.75
scn_0008_night_easy_visible,0.0,-0.625,0.625
scn_0009_night_marginal,2.5,-2.5,5.0
scn_0010_night_marginal,3.75,0.0,3.75
scn_0011_twilight_astronomical,0.0,-0.625,0.625
scn_0012_daylight_gibbous,-8.75,-1.875,-6.875
scn_0013_daylight_thin_crescent,17.75,28.125,-10.375
scn_0014_daylight_moderate,29.5,16.875,12.625
scn_0015_daylight_moderate,14.75,13.125,1.625
scn_0016_daylight_thin_crescent,13.75,34.375,-20.625
scn_0017_twilight_civil,-22.5,1.25,-23.75
scn_0018_daylight_gibbous,38.5,13.125,25.375
scn_0019_daylight_thin_crescent,-12.5,16.25,-28.75
scn_0020_daylight_moderate,3.75,4.375,-0.625
scn_0021_daylight_moderate,-17.25,0.625,-17.875
scn_0022_twilight_nautical,2.5,-1.875,4.375
scn_0023_daylight_thin_crescent,14.5,23.125,-8.625
scn_0024_daylight_near_sun_extreme,0.0,8.75,-8.75
scn_0025_daylight_near_sun_extreme,0.0,18.75,-18.75
scn_0026_daylight_thin_crescent,7.5,17.5,-10.0
scn_0027_twilight_civil,0.0,-3.125,3.125
scn_0028_twilight_astronomical,0.0,-2.5,2.5
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,2.25,6.875,-4.625
