# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    1    305     68      -    100     18      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    306     52      -    100     22      0      0      0      0   9501   1980  23289      4      0
    1    297     68      -    100     22      0      0      0      0   9501   1890  23289  23289      0
    0    340     53      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    331     68      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     53      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    341     68      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     53      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    342     68      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    351     54      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    342     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    351     54      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    343     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    352     54      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    343     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    353     54      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    343     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    353     54      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    343     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    352     55      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    342     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    316     55      -    100     19      0      0      0      0   9501   1980  23289      4      0
    1    306     69      -    100     18      0      0      0      0   9501   1890  23289  23289      0
    0    315     55      -    100     35      0      0      0      0   9501   1980  23289      4      0
    1    306     69      -    100     33      0      0      0      0   9501   1890  23289  23289      0
    0    341     55      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    331     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     55      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    342     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    349     55      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    343     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     55      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    343     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     56      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    351     56      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    351     56      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    352     56      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    350     56      -    100     70      0      0      0      0   9501   1965  23289      4      0
    1    343     69      -    100     68      0      0      0      0   9501   1890  23289  23289      0
    0    312     56      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    305     70      -    100     18      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    315     57      -    100     86      0      0      0      0   9501   1965  23289      4      0
    1    307     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    350     57      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    343     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    351     57      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    352     57      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    352     58      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    353     58      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    353     58      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    353     58      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    353     58      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    334     58      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    325     70      -    100     18      0      0      0      0   9501   1890  23289  23289      0
    0    314     58      -    100     24      0      0      0      0   9501   1965  23289      4      0
    1    305     70      -    100     26      0      0      0      0   9501   1890  23289  23289      0
    0    334     59      -    100     54      0      0      0      0   9501   1965  23289      4      0
    1    325     71      -    100     56      0      0      0      0   9501   1890  23289  23289      0
    0    353     59      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    354     59      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    354     59      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    355     59      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    355     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    356     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    356     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    346     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    356     60      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    345     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    326     60      -    100     28      0      0      0      0   9501   1950  23289      4      0
    1    316     71      -    100     30      0      0      0      0   9501   1890  23289  23289      0
    0    313     60      -    100     19      0      0      0      0   9501   1950  23289      4      0
    1    302     71      -    100     19      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    340     61      -    100     68      0      0      0      0   9501   1950  23289      4      0
    1    327     71      -    100     71      0      0      0      0   9501   1890  23289  23289      0
    0    359     61      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    360     61      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    345     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    360     61      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    361     61      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    346     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    361     61      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     71      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    362     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    362     62      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    361     62      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    324     62      -    100     36      0      0      0      0   9501   1950  23289      4      0
    1    310     71      -    100     36      0      0      0      0   9501   1890  23289  23289      0
    0    316     62      -    100     21      0      0      0      0   9501   1950  23289      4      0
    1    303     71      -    100     21      0      0      0      0   9501   1890  23289  23289      0
    0    341     62      -    100     35      0      0      0      0   9501   1950  23289      4      0
    1    327     72      -    100     36      0      0      0      0   9501   1890  23289  23289      0
    0    361     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    362     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    363     63      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    363     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    364     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    367     63      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     64      -    100     89      0      0      0      0   9501   1950  23289      4      0
    1    348     72      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    364     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    328     63      -    100     34      0      0      0      0   9501   1950  23289      4      0
    1    312     72      -    100     36      0      0      0      0   9501   1890  23289  23289      0
    0    320     63      -    100     25      0      0      0      0   9501   1950  23289      4      0
    1    304     72      -    100     25      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    343     64      -    100     28      0      0      0      0   9501   1950  23289      4      0
    1    326     72      -    100     28      0      0      0      0   9501   1890  23289  23289      0
    0    364     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    346     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     64      -    100     88      0      0      0      0   9501   1950  23289      4      0
    1    347     72      -    100     88      0      0      0      0   9501   1890  23289  23289      0
